FID,PCODE,N_05_70K,N_15_100k,N_05_15,Cat_05_70K,Cat_15_100,Cat_05_15,Sub_indic
1,2000,25,15,-10,20 to 39%,Less than 20%,Less affordable,Sydney
2,2006,0,0,0,low sales volume,low sales volume,low sales volume,University Of Sydney
3,2007,50,30,-20,40 to 59%,20 to 39%,Less affordable,Ultimo
4,2008,35,15,-20,20 to 39%,Less than 20%,Less affordable,Chippendale
5,2080,10,0,0,Less than 20%,low sales volume,low sales volume,Mount Kuring-gai
6,2081,5,10,5,Less than 20%,Less than 20%,About the same,Berowra
7,2082,5,10,5,Less than 20%,Less than 20%,About the same,Berowra Heights
8,2083,0,35,0,low sales volume,20 to 39%,low sales volume,Brooklyn
9,2084,5,5,0,Less than 20%,Less than 20%,About the same,Terrey Hills
10,2009,25,10,-15,20 to 39%,Less than 20%,Less affordable,Pyrmont
11,2010,35,15,-20,20 to 39%,Less than 20%,Less affordable,Surry Hills
12,2085,10,10,0,Less than 20%,Less than 20%,About the same,Davidson
13,2086,5,5,0,Less than 20%,Less than 20%,About the same,Frenchs Forest
14,2087,5,5,0,Less than 20%,Less than 20%,About the same,Forestville
15,2088,15,10,-5,Less than 20%,Less than 20%,About the same,Mosman
16,2011,40,30,-10,40 to 59%,20 to 39%,Less affordable,Potts Point
17,2089,15,10,-5,Less than 20%,Less than 20%,About the same,Neutral Bay
18,2090,15,10,-5,Less than 20%,Less than 20%,About the same,Cremorne
19,2092,10,5,-5,Less than 20%,Less than 20%,About the same,Seaforth
20,2093,15,10,-5,Less than 20%,Less than 20%,About the same,Balgowlah
21,2015,40,10,-30,40 to 59%,Less than 20%,Much less affordable,Alexandria
22,2016,35,5,-30,20 to 39%,Less than 20%,Much less affordable,Redfern
23,2112,30,10,-20,20 to 39%,Less than 20%,Less affordable,Ryde
24,2113,20,5,-15,20 to 39%,Less than 20%,Less affordable,Macquarie Park
25,2114,40,10,-30,40 to 59%,Less than 20%,Much less affordable,Denistone
26,2017,20,5,-15,20 to 39%,Less than 20%,Less affordable,Waterloo
27,2018,45,10,-35,40 to 59%,Less than 20%,Much less affordable,Rosebery
28,2126,5,5,0,Less than 20%,Less than 20%,About the same,Cherrybrook
29,2019,10,10,0,Less than 20%,Less than 20%,About the same,Botany
30,2020,35,10,-25,20 to 39%,Less than 20%,Much less affordable,Mascot
31,2021,15,10,-5,Less than 20%,Less than 20%,About the same,Paddington
32,2129,0,0,0,low sales volume,low sales volume,low sales volume,Flemington Market
33,2022,15,10,-5,Less than 20%,Less than 20%,About the same,Bondi Junction
34,2023,5,5,0,Less than 20%,Less than 20%,About the same,Bellevue Hill
35,2024,15,5,-10,Less than 20%,Less than 20%,Less affordable,Bronte
